week_start,capacity_bytes,drive_type,count
2015-08-03,6001175126016,HDD,1
2015-08-10,500107862016,HDD,1
2015-08-10,2000398934016,HDD,3
2015-08-10,3000592982016,HDD,3
2015-08-10,4000787030016,HDD,55
2015-08-10,6001175126016,HDD,1
2015-08-17,160041885696,HDD,1
2015-08-17,500107862016,HDD,3
2015-08-17,2000398934016,HDD,4
2015-08-17,3000592982016,HDD,4
2015-08-17,4000787030016,HDD,59
2015-08-17,6001175126016,HDD,1
2015-08-24,500107862016,HDD,8
2015-08-24,2000398934016,HDD,2
2015-08-24,4000787030016,HDD,910
2015-08-31,500107862016,HDD,17
2015-08-31,2000398934016,HDD,2
2015-08-31,4000787030016,HDD,16
2015-09-07,500107862016,HDD,5
2015-09-07,2000398934016,HDD,1
2015-09-07,4000787030016,HDD,102
2015-09-07,6001175126016,HDD,1
2015-09-14,500107862016,HDD,6
2015-09-14,2000398934016,HDD,2
2015-09-14,4000787030016,HDD,287
2015-09-21,500107862016,HDD,1
2015-09-21,2000398934016,HDD,2
2015-09-21,4000787030016,HDD,55
2015-09-21,6001175126016,HDD,1
2015-09-28,320072933376,HDD,1
2015-09-28,500107862016,HDD,7
2015-09-28,2000398934016,HDD,4
2015-09-28,3000592982016,HDD,4
2015-09-28,4000787030016,HDD,957
2015-09-28,6001175126016,HDD,2
2015-10-05,500107862016,HDD,4
2015-10-05,3000592982016,HDD,3
2015-10-05,4000787030016,HDD,15
2015-10-12,500107862016,HDD,1
2015-10-12,3000592982016,HDD,1
2015-10-12,4000787030016,HDD,16
2015-10-12,6001175126016,HDD,1
2015-10-19,160041885696,HDD,1
2015-10-19,500107862016,HDD,36
2015-10-19,2000398934016,HDD,2
2015-10-19,3000592982016,HDD,2
2015-10-19,4000787030016,HDD,1817
2015-10-19,6001175126016,HDD,1
2015-10-26,500107862016,HDD,2
2015-10-26,2000398934016,HDD,2
2015-10-26,4000787030016,HDD,17
2015-10-26,6001175126016,HDD,1
2015-11-02,500107862016,HDD,16
2015-11-02,4000787030016,HDD,872
2015-11-09,500107862016,HDD,2
2015-11-09,2000398934016,HDD,4
2015-11-09,4000787030016,HDD,19
2015-11-09,6001175126016,HDD,1
2015-11-16,500107862016,HDD,20
2015-11-16,2000398934016,HDD,1
2015-11-16,4000787030016,HDD,908
2015-11-16,6001175126016,HDD,3
2015-11-23,500107862016,HDD,12
2015-11-23,4000787030016,HDD,908
2015-11-23,8001563222016,HDD,1
2015-11-30,2000398934016,HDD,3
2015-11-30,4000787030016,HDD,15
2015-11-30,6001175126016,HDD,1
2015-12-07,500107862016,HDD,28
2015-12-07,4000787030016,HDD,1870
2015-12-14,500107862016,HDD,21
2015-12-14,3000592982016,HDD,1
2015-12-14,4000787030016,HDD,917
2015-12-21,500107862016,HDD,1
2015-12-21,3000592982016,HDD,1
2015-12-21,4000787030016,HDD,22
2015-12-21,6001175126016,HDD,1
2015-12-28,4000787030016,HDD,15
2015-12-28,6001175126016,HDD,1
2016-01-04,500107862016,HDD,1
2016-01-04,3000592982016,HDD,1
2016-01-04,4000787030016,HDD,20
2016-01-04,6001175126016,HDD,1
2016-01-11,500107862016,HDD,3
2016-01-11,3000592982016,HDD,1
2016-01-11,4000787030016,HDD,15
2016-01-18,500107862016,HDD,19
2016-01-18,4000787030016,HDD,915
2016-01-25,500107862016,HDD,1
2016-01-25,4000787030016,HDD,14
2016-02-01,3000592982016,HDD,1
2016-02-01,4000787030016,HDD,20
2016-02-08,500107862016,HDD,21
2016-02-08,3000592982016,HDD,1
2016-02-08,4000787030016,HDD,915
2016-02-08,6001175126016,HDD,2
2016-02-15,500107862016,HDD,41
2016-02-15,2000398934016,HDD,2
2016-02-15,4000787030016,HDD,2119
2016-02-15,6001175126016,HDD,1
2016-02-22,500107862016,HDD,23
2016-02-22,3000592982016,HDD,4
2016-02-22,4000787030016,HDD,918
2016-02-29,500107862016,HDD,9
2016-02-29,2000398934016,HDD,1
2016-02-29,3000592982016,HDD,1
2016-02-29,4000787030016,HDD,20
2016-03-07,500107862016,HDD,5
2016-03-07,4000787030016,HDD,20
2016-03-14,500107862016,HDD,11
2016-03-14,3000592982016,HDD,1
2016-03-14,4000787030016,HDD,10
2016-03-21,500107862016,HDD,26
2016-03-21,2000398934016,HDD,3
2016-03-21,4000787030016,HDD,921
2016-03-28,500107862016,HDD,8
2016-03-28,2000398934016,HDD,1
2016-03-28,4000787030016,HDD,13
2016-03-28,6001175126016,HDD,2
2016-04-04,500107862016,HDD,27
2016-04-04,2000398934016,HDD,2
2016-04-04,4000787030016,HDD,916
2016-04-04,5000981078016,HDD,1
2016-04-04,6001175126016,HDD,3
2016-04-11,500107862016,HDD,3
2016-04-11,3000592982016,HDD,1
2016-04-11,4000787030016,HDD,16
2016-04-18,500107862016,HDD,18
2016-04-18,2000398934016,HDD,1
2016-04-18,3000592982016,HDD,1
2016-04-18,4000787030016,HDD,920
2016-04-25,500107862016,HDD,9
2016-04-25,2000398934016,HDD,3
2016-04-25,3000592982016,HDD,1
2016-04-25,4000787030016,HDD,24
2016-05-02,500107862016,HDD,21
2016-05-02,2000398934016,HDD,1
2016-05-02,4000787030016,HDD,922
2016-05-09,500107862016,HDD,24
2016-05-09,2000398934016,HDD,2
2016-05-09,3000592982016,HDD,2
2016-05-09,4000787030016,HDD,896
2016-05-09,8001563222016,HDD,64
2016-05-16,500107862016,HDD,1
2016-05-16,2000398934016,HDD,1
2016-05-16,4000787030016,HDD,17
2016-05-16,6001175126016,HDD,1
2016-05-23,500107862016,HDD,6
2016-05-23,1000204886016,HDD,1
2016-05-23,2000398934016,HDD,5
2016-05-23,4000787030016,HDD,21
2016-05-30,500107862016,HDD,34
2016-05-30,2000398934016,HDD,1
2016-05-30,3000592982016,HDD,1
2016-05-30,4000787030016,HDD,25
2016-05-30,6001175126016,HDD,1
2016-05-30,8001563222016,HDD,899
2016-06-06,500107862016,HDD,20
2016-06-06,4000787030016,HDD,913
2016-06-13,500107862016,HDD,19
2016-06-13,4000787030016,HDD,919
2016-06-13,6001175126016,HDD,1
2016-06-20,500107862016,HDD,20
2016-06-20,4000787030016,HDD,13
2016-06-20,8001563222016,HDD,898
2016-06-27,500107862016,HDD,20
2016-06-27,1000204886016,HDD,1
2016-06-27,2000398934016,HDD,1
2016-06-27,4000787030016,HDD,20
2016-06-27,8001563222016,HDD,893
2016-07-04,500107862016,HDD,20
2016-07-04,3000592982016,HDD,1
2016-07-04,4000787030016,HDD,915
2016-07-11,4000787030016,HDD,26
2016-07-18,4000787030016,HDD,19
2016-07-18,6001175126016,HDD,1
2016-07-25,500107862016,HDD,1
2016-07-25,4000787030016,HDD,21
2016-08-01,500107862016,HDD,21
2016-08-01,4000787030016,HDD,20
2016-08-01,6001175126016,HDD,1
2016-08-01,8001563222016,HDD,1195
2016-08-08,500107862016,HDD,20
2016-08-08,4000787030016,HDD,18
2016-08-08,8001563222016,HDD,1202
2016-08-15,3000592982016,HDD,1
2016-08-15,4000787030016,HDD,22
2016-08-15,8001563222016,HDD,1
2016-08-22,4000787030016,HDD,19
2016-08-22,6001175126016,HDD,3
2016-08-22,8001563222016,HDD,2
2016-08-29,500107862016,HDD,1
2016-08-29,3000592982016,HDD,1
2016-08-29,4000787030016,HDD,28
2016-08-29,6001175126016,HDD,1
2016-09-05,4000787030016,HDD,22
2016-09-05,6001175126016,HDD,3
2016-09-05,8001563222016,HDD,1
2016-09-12,4000787030016,HDD,22
2016-09-12,6001175126016,HDD,5
2016-09-19,4000787030016,HDD,32
2016-09-19,6001175126016,HDD,1
2016-09-19,8001563222016,HDD,1
2016-09-26,4000787030016,HDD,24
2016-09-26,6001175126016,HDD,1
2016-10-03,4000787030016,HDD,20
2016-10-03,6001175126016,HDD,1
2016-10-03,8001563222016,HDD,1202
2016-10-10,3000592982016,HDD,1
2016-10-10,4000787030016,HDD,18
2016-10-10,6001175126016,HDD,1
2016-10-10,8001563222016,HDD,2
2016-10-17,500107862016,HDD,1
2016-10-17,4000787030016,HDD,17
2016-10-17,6001175126016,HDD,1
2016-10-17,8001563222016,HDD,2
2016-10-24,4000787030016,HDD,32
2016-10-24,6001175126016,HDD,2
2016-10-24,8001563222016,HDD,3
2016-10-31,4000787030016,HDD,2
2016-10-31,6001175126016,HDD,1
2016-10-31,8001563222016,HDD,1
2016-11-07,500107862016,HDD,20
2016-11-07,4000787030016,HDD,5
2016-11-07,8001563222016,HDD,1201
2016-11-14,3000592982016,HDD,1
2016-11-14,4000787030016,HDD,11
2016-11-14,6001175126016,HDD,2
2016-11-14,8001563222016,HDD,1
2016-11-21,4000787030016,HDD,14
2016-11-28,500107862016,HDD,6
2016-11-28,4000787030016,HDD,719
2016-11-28,6001175126016,HDD,1
2016-11-28,8001563222016,HDD,1
2016-12-05,500107862016,HDD,17
2016-12-05,3000592982016,HDD,2
2016-12-05,4000787030016,HDD,18
2016-12-05,6001175126016,HDD,2
2016-12-05,8001563222016,HDD,1201
2016-12-12,3000592982016,HDD,2
2016-12-12,4000787030016,HDD,31
2016-12-12,8001563222016,HDD,2
2016-12-19,500107862016,HDD,2
2016-12-19,3000592982016,HDD,3
2016-12-19,4000787030016,HDD,20
2016-12-19,6001175126016,HDD,2
2016-12-19,8001563222016,HDD,1
2016-12-26,3000592982016,HDD,3
2016-12-26,4000787030016,HDD,13
2016-12-26,8001563222016,HDD,3
2017-01-02,3000592982016,HDD,3
2017-01-02,4000787030016,HDD,17
2017-01-02,6001175126016,HDD,1
2017-01-09,3000592982016,HDD,2
2017-01-09,4000787030016,HDD,18
2017-01-09,8001563222016,HDD,1
2017-01-16,3000592982016,HDD,2
