country,value,date,fuel_type
SLOVENIA,4546.0,201509,All
SPAIN,69826.0,201509,All
SWEDEN,29653.0,201509,All
UNITED KINGDOM,462517.0,201509,All
ICELAND,797.0,201509,All
NORWAY,12421.0,201509,All
SWITZERLAND,24137.0,201509,All
AUSTRIA,25149.0,201510,All
BELGIUM,39474.0,201510,All
BULGARIA,1941.0,201510,All
CROATIA,2411.0,201510,All
CYPRUS,905.0,201510,All
CZECH REPUBLIC,19658.0,201510,All
DENMARK,16872.0,201510,All
ESTONIA,1867.0,201510,All
FINLAND,9166.0,201510,All
FRANCE,161737.0,201510,All
GERMANY,278372.0,201510,All
GREECE,4946.0,201510,All
HUNGARY,8192.0,201510,All
IRELAND,2562.0,201510,All
ITALY,132929.0,201510,All
LATVIA,1291.0,201510,All
LITHUANIA,1576.0,201510,All
LUXEMBOURG,4398.0,201510,All
NETHERLANDS,39006.0,201510,All
POLAND,29062.0,201510,All
PORTUGAL,13696.0,201510,All
ROMANIA,7562.0,201510,All
SLOVAKIA,6691.0,201510,All
SLOVENIA,6123.0,201510,All
SPAIN,80055.0,201510,All
SWEDEN,31563.0,201510,All
UNITED KINGDOM,177664.0,201510,All
ICELAND,808.0,201510,All
NORWAY,13197.0,201510,All
SWITZERLAND,25236.0,201510,All
AUSTRIA,23381.0,201511,All
BELGIUM,36329.0,201511,All
BULGARIA,2130.0,201511,All
CROATIA,2209.0,201511,All
CYPRUS,921.0,201511,All
CZECH REPUBLIC,20421.0,201511,All
DENMARK,17098.0,201511,All
ESTONIA,1552.0,201511,All
FINLAND,8992.0,201511,All
FRANCE,150334.0,201511,All
GERMANY,272377.0,201511,All
GREECE,5859.0,201511,All
HUNGARY,6590.0,201511,All
IRELAND,948.0,201511,All
ITALY,134021.0,201511,All
LATVIA,1128.0,201511,All
LITHUANIA,1438.0,201511,All
LUXEMBOURG,3412.0,201511,All
NETHERLANDS,40516.0,201511,All
POLAND,30312.0,201511,All
PORTUGAL,13343.0,201511,All
ROMANIA,8022.0,201511,All
SLOVAKIA,6953.0,201511,All
SLOVENIA,5095.0,201511,All
SPAIN,81650.0,201511,All
