Word_CDI,Translation,Freq_NoWaC,Freq_CDS
'mer','more',1529227,2
'mye','a lot',2742433,166
'noe','something',744491,349
'noen','someone',414688,277
'også','too',1680324,292
'samme','same',434827,21
'bli','be(come)',3721974,178
'bør','should',324893,1
'burde','should',469501,4
'er','is',12115790,15
'få','get',2396707,287
'gjør','does',475020,320
'gjorde','did',149517,52
'gjøre','do',1340396,488
'ha','have',73111,1174
'hadde','had',1000755,2
'har','has',6229512,10
'kan','can',2851732,3
'kunne','could',3456913,742
'la','let',170816,7
'må','have to',1121332,5
'måtte','had to',1355908,242
'skal','will',1837061,3
'skulle','would',2295140,1152
'være','be',16594833,4419
'var','was',2446938,6
'vil','wanna/want to',1814650,4
'ville','would',2183940,161
'at','that',6016756,215
'eller','or',1705360,210
'for','for',352478,521
'fordi','because',320966,12
'hvis','if',498529,86
'men','but',3015440,444
'og','and',16079937,1074
'så','then',2141716,900
'som','that',5486715,402
