pdes,diameter
466130,
466191,
466507,
466508,
467309,
467317,
467335,
467336,
467347,
467351,
467352,
467372,0.874
467460,
467475,
467527,
467609,
467835,
467917,
467963,
468004,
468005,
468117,0.493
468446,
468448,
468452,
468462,
468468,0.197
468481,
468540,
468541,
468583,
468681,
468684,
468727,0.308
468730,
468738,
468741,
468813,
468837,
468909,
468910,
469219,
469356,
469373,
469445,0.143
469494,0.758
469513,
469634,
469722,
469727,
469737,
469896,
469929,
470004,
470310,
470510,
470585,
470594,
470678,
470864,
470909,
470951,
470975,
471034,
471083,0.244
471108,
471240,
471241,
471323,
471487,
471926,
471956,
471984,
472263,
474158,
474163,
474179,
474223,
474231,
474238,
474425,0.358
474451,
474474,
474532,
474549,
474554,
474574,
474585,
474611,
474613,
474674,
474706,
475016,0.164
475354,
475462,
475534,
475665,
475950,0.389
475967,
476093,
476187,
476438,0.433
476601,
476904,
477051,
477162,
477248,
477327,
477465,
477490,0.652
477491,0.739
477492,
477519,0.321
477524,0.991
477588,0.692
477719,
477762,0.326
477885,
478574,
478784,
479325,
479345,
480004,
480808,
480817,
480820,
480822,
480823,
480824,
480854,
480856,
480858,
480883,
480885,
480922,
480927,
480934,
480936,0.537
480984,
481025,
481027,
481032,
481052,
481127,
481327,0.216
481381,
481394,
481442,
481457,
481482,
481532,
481542,
481543,
481775,
481790,
481817,
481904,
481918,
481965,
481984,
481985,
481989,
482049,
482054,0.413
482055,1.855
482111,0.383
482228,
482234,
482244,
482250,
482344,
482391,
482467,
482488,
482505,
482533,
482562,
482566,
482650,
482718,
482766,
482796,
482798,
483408,
483422,
483423,
483432,
483453,
483459,
483468,
483471,
483472,
483504,
483506,
483508,0.202
483509,
483531,
483547,
483560,
483563,
483566,
483656,
483662,
483856,
483878,
483989,
484199,
484402,
484403,
484462,
484506,
484517,
484725,
484757,
484795,
484850,
484976,
485051,
485110,0.356
485652,
485823,
485882,
486001,
486607,
486692,
486739,
487577,
487580,
487583,
488450,
488453,
488461,
488465,
488474,
488486,
488490,
488494,0.766
488509,
488515,
488579,
488580,
488615,
488636,
488640,
488645,
488693,
488698,
488789,1.039
488803,0.209
489203,1.520
489235,
489337,
489453,
489486,
489885,
489900,
490354,
490581,0.237
490636,
490684,
490791,
491007,
491424,
491565,
491567,
491842,
492143,
492478,1.084
494658,
494689,
494690,
494696,
494697,
494706,
494710,
494713,
494880,
494975,
494999,
495021,
495102,
495168,
495187,
495222,
495278,
495316,
495323,
495331,
495417,
495511,
495615,
495829,
495833,
495848,
495857,
495858,0.342
495891,
495930,
495959,
495960,
496001,
496005,
496013,
496018,
496174,0.657
496230,
496326,
496327,
496816,0.3
496817,0.4
496818,
496837,0.337
496860,
496861,
496869,
496901,
496962,
496981,
497025,
497094,
497096,
497113,
497117,
497135,
497174,
497176,
497232,
497236,
497245,
497626,
498066,0.589
498068,
498125,
498143,1.531
498441,
498548,
498550,
498918,
499307,
499490,1.202
499496,0.357
499582,0.461
499672,
499986,
499998,
500080,
500094,
500136,
500749,
500922,
501243,
501567,
501647,
501878,
501934,
503274,
503277,
503293,
503861,
503865,
503871,
503880,
503892,
503911,
503941,0.260
503960,
503966,
504025,
504033,
504034,
504074,
504181,
504256,
504392,
504505,
504680,
504711,
504800,0.380
504827,0.615
504887,
504928,
504994,
505019,
505093,
505169,
505178,
505657,0.971
505667,
506074,
506425,
506437,
506459,
506491,
506590,0.099
506732,
506779,
506859,
506951,
507355,
507366,
507422,
507716,
507847,
508767,
508772,
508774,
508786,
508796,
508861,
508871,
508905,
508908,
508912,
508918,
508967,
508997,
509073,
509102,
509191,
509192,
509352,
509353,
509456,
509505,
509520,
509523,
509569,
509821,
509935,
510055,0.200
510073,0.451
510160,
510190,
510238,
510262,
510529,
511002,
511008,1.647
511064,
511137,
511243,1.195
511520,
511523,
511600,
511684,
511777,
511808,
512234,
512242,
512244,
512245,
513125,
513126,
513138,
513163,
513165,
513170,
513171,
513181,
513182,
513312,
513358,
513472,
513489,
513497,
513529,
513550,1.451
513572,
513711,
513776,
513916,
514041,5.272
514150,
514568,
514571,
514596,
514597,
514652,0.741
514846,
514914,
515010,
515049,0.351
515082,
515335,
515446,
515639,
515742,
515767,
516154,
516155,
516396,
516398,
516420,
516423,
516428,
516435,
516454,
516457,
516641,
516734,
516803,0.463
516868,
516976,
516984,1.824
516986,
517046,
517103,
517681,
517829,
518424,
518426,
518440,
518463,
518469,
518507,0.794
518635,
518638,
518640,
518646,
518678,
518735,
518737,
518771,
518810,0.083
518847,
519307,
519354,
519504,
519824,
520585,
520808,0.704
520862,
522684,
523585,
523586,
523587,
523589,1.851
523590,
523592,
523593,
523594,
523595,0.658
523596,
523598,
523599,
523600,
523602,
523603,
523604,
523605,
523606,
523607,
523608,
523609,
523610,
523611,
523612,
523613,
523614,
523616,
523619,
523621,
523623,
523625,
523626,
523628,
523630,
523631,0.564
523632,0.309
523633,
523636,0.550
523637,0.602
523638,
523641,
523648,
523650,
523651,
523654,
523656,
523657,
523660,
523661,
523662,
523663,
523664,
523665,
523666,
523667,
523668,
523669,
523670,
523679,
523685,
523694,
523707,
523728,
523732,
523737,
523747,0.873
523775,
523779,
523781,
523786,
523788,
523792,
523795,
523796,
523799,
523801,
523802,
523803,
523804,
523805,
523806,
523807,
523808,
523809,
523810,
523811,
523812,
523813,
523814,
523815,
523816,0.851
523817,
523818,
523819,
523820,
523821,
523822,
523823,
523824,
523826,0.3
523828,
523915,
523934,
523941,
523945,
523950,
523966,
523967,
523971,
523972,
524150,
524196,
524268,
524391,
524392,
524459,
524471,
524474,
524475,
524498,
524516,
524522,
524530,
524536,
524594,
524597,
524599,
524603,
524974,
525229,
525231,
525234,
525268,
525319,
525356,
525364,
525477,
525484,
525498,
525552,
526238,
526449,
526587,
526670,
526742,
526798,
526825,
526826,
526878,
526898,
527115,
527671,
527715,
527841,
527959,
527977,
528159,
528284,
528507,
528609,
528650,
528756,
528804,
528807,
528857,
528859,
529032,
529366,
529450,
529668,1.778
529670,
529718,1.770
529720,0.361
529752,
529753,0.363
529819,0.259
529920,
529951,
530085,
530151,
530520,
530531,
530743,
530871,1.434
530938,0.413
530940,
530974,
531060,
531277,
531898,
531899,
531914,
531944,
532058,
532874,0.310
533011,
533372,
533541,
533638,
533671,
533722,0.701
533990,
534676,
535148,
535221,
535844,
536531,
537098,
537342,
537395,
537467,
537686,
537829,
538085,
538212,
538644,
538648,
538979,
539063,
539694,
539856,
539940,
543319,
"1979 XB",
"1982 YA",
"1983 LC",
"1986 NA",
"1988 NE",
"1989 AZ",
"1990 UN",
"1991 BA",
"1991 GO",
"1991 JR",
"1991 TT",
"1991 TU",
"1991 TF3",
"1991 VA",
"1991 VG",
"1991 XA",
"1991 XB",
"1992 DU",
"1992 JD",
"1992 SZ",
"1992 YD3",
"1993 BD3",
"1993 BU3",
"1993 DA",
"1993 FA1",
"1993 HC",
"1993 HP1",
"1993 KA",
"1993 KA2",
"1993 TZ",
"1993 UA",
"1993 UD",
"1994 BB",
"1994 CJ1",
"1994 EK",
"1994 EU",
"1994 ES1",
"1994 FA",
"1994 GK",
"1994 GL",
"1994 GV",
"1994 NE",
"1994 NK",
"1994 RB",
"1994 TA2",
"1994 TE2",
"1994 US",
"1994 VH8",
"1994 WR12",
"1994 XG",
"1994 XM1",
"1995 BK2",
"1995 CR",
"1995 CS",
"1995 DV1",
"1995 FF",
"1995 FG",
"1995 FJ",
"1995 FO",
"1995 FX",
"1995 HM",
"1995 LA",
"1995 NA",
"1995 SB",
"1995 SC1",
"1995 SD1",
