"Object","Close-Approach (CA) Date","CA Distance Nominal (LD | au)","CA Distance Minimum (LD | au)","V relative (km/s)","V infinity (km/s)","H (mag)","Estimated Diameter",""
"(2007 RS1)","2007-Sep-05 01:19 ± < 00:01","0.19 | 0.00049","0.19 | 0.00049","12.15","11.69","30.9","1.8 m -  3.9 m","bK07R01S"
"(2002 JE9)","1927-Apr-10 20:16 ± 4_05:09","0.67 | 0.00171","0.19 | 0.00050","13.22","13.10","21.2","150 m -  340 m","bK02J09E"
"(2016 TS54)","2016-Oct-10 04:22 ±    00:03","0.20 | 0.00050","0.19 | 0.00050","16.93","16.62","27.8","7.3 m -   16 m","bK16T54S"
"(2016 CM194)","2016-Feb-13 07:48 ± < 00:01","0.20 | 0.00052","0.20 | 0.00052","12.00","11.57","27.7","7.7 m -   17 m","bK16CJ4M"
"(2010 RF12)","2010-Sep-08 21:13 ± < 00:01","0.21 | 0.00053","0.21 | 0.00053","6.00","5.10","28.4","5.6 m -   12 m","bK10R12F"
"(2015 PK)","2015-Aug-06 03:09 ±    00:04","0.21 | 0.00053","0.21 | 0.00053","16.31","16.00","28.1","6.4 m -   14 m","bK15P00K"
"(2014 SG1)","2014-Sep-20 14:48 ± < 00:01","0.21 | 0.00053","0.21 | 0.00053","13.87","13.51","29.1","4.0 m -  9.0 m","bK14S01G"
"(2014 HB177)","2034-May-06 09:06 ± 2_17:06","0.23 | 0.00059","0.21 | 0.00053","6.80","6.11","28.1","6.4 m -   14 m","bK14HH7B"
"(2005 WN3)","2005-Nov-26 00:32 ± < 00:01","0.22 | 0.00056","0.22 | 0.00056","19.30","19.05","29.9","2.8 m -  6.2 m","bK05W03N"
"(2019 LY4)","2019-Jun-06 01:30 ± < 00:01","0.22 | 0.00056","0.22 | 0.00056","20.74","20.50","27.8","7.3 m -   16 m","bK19L04Y"
"(2003 SQ222)","2003-Sep-27 22:56 ± < 00:01","0.22 | 0.00056","0.22 | 0.00056","15.43","15.12","30.1","2.5 m -  5.7 m","bK03SM2Q"
"(2009 FH)","2009-Mar-18 12:08 ± < 00:01","0.22 | 0.00057","0.22 | 0.00057","6.58","5.82","26.6","13 m -   28 m","bK09F00H"
"(2019 WH)","2019-Nov-19 08:01 ± < 00:01","0.22 | 0.00057","0.22 | 0.00057","10.98","10.54","26.2","15 m -   34 m","bK19W00H"
"(2015 XA378)","2053-Jun-01 04:44 ± 1_19:25","0.56 | 0.00143","0.22 | 0.00057","18.02","17.92","25.9","18 m -   39 m","bK15Xb8A"
"(2016 XL23)","2016-Nov-30 12:54 ±    00:03","0.23 | 0.00058","0.23 | 0.00058","10.60","10.16","29.3","3.7 m -  8.3 m","bK16X23L"
"(2016 QA2)","2016-Aug-28 01:26 ± < 00:01","0.23 | 0.00058","0.23 | 0.00058","10.27","9.81","25.1","25 m -   57 m","bK16Q02A"
